sku,name,category,product_url,short_description,material,size,thread,compatible_model,package,moq,lead_time,application,quotation_note
AF-MIG-CT-0004,MIG Contact Tip M6 0.8mm,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-contact-tip-m6-0-8mm,"MIG Contact Tip M6 0.8mm for MIG/MAG torch maintenance and contact tip replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",E-Cu or CuCrZr options shown in the company catalog; final grade per quotation,0.8 mm wire bore; 25 mm length (15AK catalog reference),M6,"15AK / MB15 reference family; confirm by sample, drawing or model number",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG torch maintenance and contact tip replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-CT-0005,MIG Contact Tip M6 1.0mm,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-contact-tip-m6-1-0mm,"MIG Contact Tip M6 1.0mm for MIG/MAG torch maintenance and contact tip replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",E-Cu or CuCrZr options shown in the company catalog; final grade per quotation,1.0 mm wire bore; 25 mm length (15AK catalog reference),M6,"15AK / MB15 reference family; confirm by sample, drawing or model number",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG torch maintenance and contact tip replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-CT-0006,MIG Contact Tip M6 1.2mm,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-contact-tip-m6-1-2mm,"MIG Contact Tip M6 1.2mm for MIG/MAG torch maintenance and contact tip replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",E-Cu or CuCrZr options shown in the company catalog; final grade per quotation,1.2 mm wire bore; M6 x 27 mm general catalog reference,M6,"The company catalog shows M6 x 27 mm contact-tip references; torch fit must be confirmed by sample, drawing or model number",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG torch maintenance and contact tip replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-TH-0007,MIG Tip Holder for MB15,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-tip-holder-for-mb15,"MIG Tip Holder for MB15 for MIG/MAG torch front-end repair and consumable assembly. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Copper material - specific grade to be confirmed,42 mm overall length (15AK catalog reference),M6 contact-tip side / M8 x 1 LH torch-neck side (catalog reference),"15AK / MB15 reference family; confirm by sample, drawing or model number",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG torch front-end repair and consumable assembly,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-GN-0008,MIG Gas Nozzle for MB15,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-gas-nozzle-for-mb15,"MIG Gas Nozzle for MB15 for MIG/MAG shielding gas delivery and gas nozzle replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Copper or plated material - exact grade to be confirmed,"53 mm length; cylindrical 16 mm, conical 12 mm or tapered 9.5 mm opening (15AK catalog reference)",Connection style must be confirmed by sample or drawing,15AK / MB15 reference family; confirm nozzle profile and connection before ordering,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG shielding gas delivery and gas nozzle replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-DF-0003,MIG Diffuser,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-diffuser,"MIG Diffuser for MIG/MAG torch gas distribution and diffuser replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Copper material - specific grade to be confirmed,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG torch gas distribution and diffuser replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-TL-0009,MIG Torch Liner,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-torch-liner,"MIG Torch Liner for MIG/MAG wire feeding, torch maintenance and liner replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Liner type is selected by wire and application; PTFE liner options are shown in the company catalog,3.5 m or 5.5 m liner references; 3 m or 5 m PTFE liner references,Connection dimensions vary by liner family; confirm by sample or drawing,"Torch and connector match must be confirmed by model, sample or drawing",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,"MIG/MAG wire feeding, torch maintenance and liner replacement","Final quotation depends on confirmed model, quantity, packaging and destination."
AF-MIG-SN-0010,MIG Swan Neck,MIG/MAG Torch Parts,https://www.arcfortweld.com/products/mig-mag-torch-parts/mig-swan-neck,"MIG Swan Neck for MIG/MAG torch neck repair and front-end replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Material details available upon request,Available upon request,Available upon request,Compatibility can be confirmed by sample drawing or model number,Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,MIG/MAG torch neck repair and front-end replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-TIG-CC-0007,TIG Ceramic Cup #5,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-ceramic-cup-5,"TIG Ceramic Cup #5 for TIG shielding gas control and ceramic cup replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Ceramic material - exact grade to be confirmed,#5; 8 mm opening and 42 mm length catalog reference for a 54N17-style cup,Cup interface must be matched to the selected body or gas-lens arrangement,"54N17-style #5 cup is referenced for 17/18/26 series; confirm cup profile, body and gas-lens arrangement",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG shielding gas control and ceramic cup replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
AF-TIG-CC-0008,TIG Ceramic Cup #6,TIG Torch Parts,https://www.arcfortweld.com/products/tig-torch-parts/tig-ceramic-cup-6,"TIG Ceramic Cup #6 for TIG shielding gas control and ceramic cup replacement. Compatibility and ordering details can be confirmed by sample, drawing or model reference.",Ceramic material - exact grade to be confirmed,#6; 10 mm opening and 42 mm length catalog reference for a 54N16-style cup,Cup interface must be matched to the selected body or gas-lens arrangement,"54N16-style #6 cup is referenced for 17/18/26 series; confirm cup profile, body and gas-lens arrangement",Standard export packing or customized packaging,Small trial orders accepted,7-20 working days for regular orders,TIG shielding gas control and ceramic cup replacement,"Final quotation depends on confirmed model, quantity, packaging and destination."
